timestamp,ticker,market,price,change_pct,rel_volume,volume,avg_volume_20d,above_20d_high,above_50d_high,extension_5d_pct,rsi14,ema20_dist_pct,ema50_dist_pct,macd_hist_pct,bb_percent_b,score,source,reasons,warnings,one_day_return,three_day_return,five_day_return,ten_day_return,twenty_one_day_return,notes
2026-07-02T16:14:02+0200,RIVN,US,19.6000,14.2191,6.3683,1027651,1429124.1500,true,true,10.1433,,,,,,80,alpaca+finviz_manual,"relative volume 6.37x pace (session 11% elapsed); daily move 14.22% inside target range; breaking above 20-day high; also above 50-day high; price above today's open; not too extended vs 5-day high (10.14%); liquidity comfortably above floor; Rivian; +6.00%, $22.95B cap, price $18.21. EV momentum seed; liquid but above normal market-cap target.",,0.3061,-17.3724,-6.3265,-13.3673,,
2026-07-03T17:35:43+0200,CELH,US,33.1850,4.1261,3.8768,528327,422720.6500,true,false,2.9631,,,,,,60,alpaca,relative volume 3.88x pace (session 32% elapsed); daily move 4.13% inside target range; breaking above 20-day high; price above today's open; not too extended vs 5-day high (2.96%),,-1.5820,-7.8349,-9.8991,-13.3494,,
2026-07-03T17:35:43+0200,HOOD,US,112.7100,3.7081,4.2306,1330428,975471.5500,true,true,2.9127,,,,,,70,alpaca,relative volume 4.23x pace (session 32% elapsed); daily move 3.71% inside target range; breaking above 20-day high; also above 50-day high; price above today's open; not too extended vs 5-day high (2.91%); liquidity comfortably above floor,,1.6591,3.9925,-1.3974,-10.6024,,
2026-07-03T17:35:43+0200,RIVN,US,18.6200,8.5082,7.4223,3419663,1429124.1500,true,true,4.6361,,,,,,80,alpaca+finviz_manual,"relative volume 7.42x pace (session 32% elapsed); daily move 8.51% inside target range; breaking above 20-day high; also above 50-day high; price above today's open; not too extended vs 5-day high (4.64%); liquidity comfortably above floor; Rivian; screenshot move +8.15%, price $18.58, volume 56.06M. EV momentum seed; already in base universe and previously scored highly.",,-7.5994,-3.9474,-6.9549,-6.8206,,
2026-07-03T17:35:43+0200,SMMT,US,15.4400,7.3713,3.8842,476197,380286.1000,true,false,3.7634,,,,,,60,alpaca,relative volume 3.88x pace (session 32% elapsed); daily move 7.37% inside target range; breaking above 20-day high; price above today's open; not too extended vs 5-day high (3.76%),,2.7202,1.6192,-0.6153,-9.5207,,
2026-07-06T18:43:34+0200,RIVN,US,19.8100,6.3910,1.4735,1067225,1459145.0500,true,true,0.1517,69.31,19.35,23.88,1.8592,1.186,60,alpaca+finviz_manual,"daily move 6.39% inside target range; breaking above 20-day high; also above 50-day high; price above today's open; not too extended vs 5-day high (0.15%); liquidity comfortably above floor; Rivian; screenshot move +8.15%, price $18.58, volume 56.06M. EV momentum seed; already in base universe and previously scored highly.",relative volume below trigger (1.4735x pace),-13.1499,-9.7173,-12.5442,-12.4180,,
2026-07-09T18:07:52+0200,QIA.DE,EU-XETRA,36.6700,10.6184,2.7443,1975681,719921.1500,true,true,4.5325,69.32,8.58,10.63,0.1863,1.090,68,yahoo,relative volume 2.74x pace (accumulated avg (131d); session 100% elapsed); daily move 10.62% inside target range; breaking above 20-day high (from 131d accumulated history); also above 50-day high; price above today's open; not too extended vs 5-day high (4.53%); liquidity comfortably above floor,,-0.0409,-3.3270,-1.1454,-4.4041,,
2026-07-09T18:14:23+0200,RIVN,US,17.9150,7.5976,2.6968,2010145,1768257.7000,false,false,-11.2899,56.01,7.02,11.15,0.7465,0.774,63,alpaca+finviz_manual,"relative volume 2.70x pace (session 42% elapsed); daily move 7.60% inside target range; price above today's open; not too extended vs 5-day high (-11.29%); liquidity comfortably above floor; Rivian; screenshot move +8.15%, price $18.58, volume 56.06M. EV momentum seed; already in base universe and previously scored highly.",,2.4840,-2.4560,-4.3539,-7.9263,,
2026-07-14T17:39:49+0200,S,US,19.9500,7.4892,2.9973,434948,435951.6500,true,true,5.0553,70.23,15.03,21.57,1.6305,1.008,60,alpaca,relative volume 3.00x pace (session 33% elapsed); daily move 7.49% inside target range; breaking above 20-day high; also above 50-day high; price above today's open; not too extended vs 5-day high (5.06%),,1.5789,-1.9048,-6.0150,-8.1704,,
2026-07-14T18:46:48+0200,DHER.DE,EU-XETRA,39.1000,5.7614,2.3780,1259091,529478.9000,true,false,4.7696,69.44,6.56,15.17,-0.0916,1.291,66,yahoo,relative volume 2.38x pace (accumulated avg (134d); session 100% elapsed); daily move 5.76% inside target range; breaking above 20-day high (from 134d accumulated history); price above today's open; not too extended vs 5-day high (4.77%); liquidity comfortably above floor,,-1.4578,-2.4041,-1.7647,-3.0946,,
2026-07-28T11:48:17+0200,BC8.DE,EU-XETRA,35.3600,9.4737,6.3545,342255,163227.5500,true,true,8.2670,74.15,12.37,12.87,1.0583,1.375,60,yahoo,relative volume 6.35x pace (accumulated avg (144d); session 33% elapsed); daily move 9.47% inside target range; breaking above 20-day high (from 144d accumulated history); also above 50-day high; price above today's open; not too extended vs 5-day high (8.27%),,4.6946,,,,,
2026-07-28T11:48:17+0200,MBG.DE,EU-XETRA,47.1250,3.9943,2.0674,1305936,1914312.8500,true,false,2.2789,59.71,3.94,1.00,0.6031,1.141,64,yahoo,relative volume 2.07x pace (accumulated avg (144d); session 33% elapsed); daily move 3.99% inside target range; breaking above 20-day high (from 144d accumulated history); price above today's open; not too extended vs 5-day high (2.28%); liquidity comfortably above floor,,-2.5570,,,,,
2026-07-29T18:51:01+0200,SHL.DE,EU-XETRA,37.5400,4.5100,2.3184,2192201,945576.6500,true,true,3.5586,68.33,6.76,6.87,0.5972,1.337,65,yahoo,relative volume 2.32x pace (accumulated avg (145d); session 100% elapsed); daily move 4.51% inside target range; breaking above 20-day high (from 145d accumulated history); also above 50-day high; price above today's open; not too extended vs 5-day high (3.56%); liquidity comfortably above floor,,,,,,,
